category,name,new,details,image-src,price,on_sale
Mask,Dope Dreams Sleeping Mask,null,Nourishing overnight face mask with Hemp Seed Oil,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw74782b92/2021/57490_SCMSK_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Mask,Game Up Rez-Me Awakening Face Mask,null,"Creamy, hydrating face mask to revive dry skin",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw7f12fb09/2022/GameUpCollection/84444_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$10.00,null
Mask,SuperRevitalize Magnetic Mask,null,Magnetic face mask & wand tool removes impurities,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwb8d9cc1b/2021/57455_OpenA_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$24.00,null
Mask,SuperPurify Clay Facial Mask,null,Color-morphing clay mask to clean out pores & smooth skin,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw495f2f4d/2022/AugustLaunches-Supers_and_JumboPutty/82173_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$12.00,null
Set,Jelly Poppin' Skincare Set,null,3-piece Jelly Pop hydrating travel skincare set,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwc906586e/2021/57270_HLGFT_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=tif&strip=false&yocs=F_J_,$18.00,null
Set,Supers Mini Kit,null,Complete ingredient-driven mini skincare kit,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw4b858194/2020/57456_SCTRE_InPack_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$15.00,null
Set,Hydrated Ever AfterSkincare Mini Kit,null,"This travel-friendly kit has all of your favorite Holy Hydration necessities. This step-by-step skincare regimen will have your face feeling soft, supple and hydrated no matter where you are – think of it as your face’s happily ever after!",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw8f3b9a0b/2022/HolyHydration!NewPackaging/57150_SCSET_InPack_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$20.00,null
Set,Blemish Breakthrough Blemish Control Basics Kit,null,3-step travel-size acne skincare routine,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwd08d5106/2022/MayLaunches-Skin/57564_InPack_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$15.00,null
Set,Treat Yo' e.l.f. Skincare Set,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/on/demandware.static/-/Library-Sites-elfSharedLibrary/default/dw854238bc/badges/_PLP_BADGE_price.png?yocs=F_J_,"A supercharged, ingredient-packed mini skin care kit perfect for an on-the-go routine. Revives dull & uneven skin tones.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw96cb258a/2020/70932_HLGFT_InPack_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$15.00,null
Set,Under the Mistletoe Moisturizing Kit,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/on/demandware.static/-/Library-Sites-elfSharedLibrary/default/dw854238bc/badges/_PLP_BADGE_price.png?yocs=F_J_,Hydrating skincare gift set with Hyaluronic Acid,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw078659c5/2022/Holiday2022/70858_InPack_C.jpg?sw=150&sh=150&sm=fit&sfrm=jpg&strip=false&yocs=F_J_,null,$15.00
Treatment & Serum,Vitamin C Serum,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/on/demandware.static/-/Library-Sites-elfSharedLibrary/default/dw8477b016/badges/PDP_VIRAL_BADGE-sm-min.png?yocs=F_J_,Antioxidant-rich face serum to protect & brighten,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dweee0bfd7/2021/57074_SCTRE_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$16.00,null
